TID,English Term,English Definition,Spanish Term,Spanish Definition
482,Percent change,The percent change is the ratio of the amount of change to the original amount expressed as a percent.,Cambio porcentual,"La razón del cambio porcentual en la cantidad de cambio y la cantidad original, expresada como un porcentaje."
483,Percent decrease,The percent change found when the original amount experiences a percent decrease.,Disminución porcentual,Cambio porcentual que se encuentra cuando la disminución porcentual de la cantidad original ocurre.
484,Percent error,"The percent error is the ratio of the absolute value of the difference of the measured (or estimated) value and an actual value compared to the actual value, expressed as a percent.",Error porcentual,"El error porcentual es la razón del valor absoluto de la diferencia de un valor medido (o estimado) y un valor actual en comparación con el valor actual, expresada como un porcentaje."
485,Percent increase,The percent increase is the percent change found when the original amount increases.,Aumento porcentual,"Cambio porcentual que se encuentra cuando la cantidad original aumenta, resultando en un aumento porcentual."
486,Percentile,A percentile is the percentage of values less than or equal to a particular data value. It is equal to the percentage of the total area under the distribution curve for the population to the left of that value.,Percentil,Valor que separa el conjunto de datos en 100 partes iguales mediante el percentil.
487,Percentile rank,The percentile rank is the percentage of data values that are less than or equal to a given value.,Rango percentil,Porcentaje de valores de datos que son menores o iguales que un valor dado en el rango percentil.
488,Perfect square trinomial,A perfect square trinomial is a trinomial that is the square of a binomial.,Trinomio cuadrado perfecto,Un trinomio cuadrado perfecto es un trinomio que es el cuadrado de un binomio.
489,Perfect squares,Numbers whose square roots are integers and are considered perfect squares.,Cuadrado perfecto,Número cuya raíz cuadrada es un número entero y que se denomina cuadrado perfecto.
491,Period,The period of a periodic function is the horizontal length of one cycle.,Período,El período de una función periódica es el intervalo horizontal de un ciclo.
492,Periodic function,A periodic function repeats a pattern of y-values at regular intervals.,Función periódica,Una función periódica repite un patrón de valores y a intervalos regulares.
494,Perpendicular bisector,"The perpendicular bisector of a segment is a line, segment, or ray that is perpendicular to the segment at its midpoint.",Mediatriz,"La mediatriz de un segmento es una recta, segmento o semirrecta que es perpendicular al segmento en su punto medio."
496,Perspective drawing,"Perspective drawing is a way of drawing objects on a flat surface so that they look the same way as they appear to the eye. In one-point perspective, there is one vanishing point. In two-point perspective, there are two vanishing points.",Dibujar en perspectiva,Dibujar en perspectiva es una manera de dibujar objetos en una superficie plana de modo que se vean como los percibe el ojo humano. En la perspectiva de un punto hay un punto de fuga. En la perspectiva de dos puntos hay dos puntos de fuga.
497,Phase shift,A horizontal translation of a periodic function is a phase shift.,Cambio de fase,Una traslación horizontal de una función periódica es un cambio de fase.
499,Piecewise function,A piecewise function has different rules for different parts of its domain.,Función de fragmentos,Una función de fragmentos tiene reglas diferentes para diferentes partes de su dominio.
506,Point symmetry,Point symmetry is the type of symmetry for which there is a rotation of 180 degrees that maps a figure onto itself.,Simetría central,La simetría central es un tipo de simetría en la que una figura se ha rotado 180° sobre sí misma.
509,Polygon,"A polygon is a closed plane figure formed by three or more segments. Each segment intersects exactly two other segments, but only at their endpoints, and no two segments with a common endpoint are collinear. The vertices of the polygon are the endpoints of the sides. A diagonal is a segment that connects two nonconsecutive vertices. A polygon is convex if no diagonal contains points outside the polygon. A polygon is concave if a diagonal contains points outside the polygon.",Polígono,"Un polígono es una figura plana compuesta por tres o más segmentos. Cada segmento interseca los otros dos segmentos exactamente, pero únicamente en sus puntos extremos y ningúno de los segmentos con extremos comunes son colineales. Los vértices del polígono son los extremos de los lados. Una diagonal es un segmento que conecta dos vértices no consecutivos. Un polígono es convexo si ninguna diagonal tiene puntos fuera del polígono. Un polígono es cóncavo si una diagonal tiene puntos fuera del polígono."
510,Polyhedron,"A polyhedron is a three-dimensional figure whose surfaces, or faces, are polygons. The vertices of the polygons are the vertices of the polyhedron. The intersections of the faces are the edges of the polyhedron.",Poliedro,"Un poliedro es una figura tridimensional cuyas superficies, o caras, son polígonos. Los vértices de los polígonos son los vértices del poliedro. Las intersecciones de las caras son las aristas del poliedro."
511,Polynomial,A monomial or the sum or difference of two or more monomials. A quotient with a variable in the denominator is not a polynomial.,Polinomio,Un monomio o la suma o diferencia de dos o más monomios. Un cociente con una variable en el denominador no es un polinomio.
512,Polynomial function,A polynomial in the variable x defines a polynomial function of x.,Función polinomial,Un polinomio en la variable x define una función polinomial de x.
513,Population,The entire group of individuals or items that constitutes the population from which you are collecting information.,Población,El grupo entero del cual juntas información sobre la población.
514,Population density,Population density is the number of individuals of a population divided by the total area or volume that they occupy.,Densidad de población,La densidad de población es el número de individuos de una población divididadivididopor el área total o el volumen total que ocupanlos individuos.
515,Positive association,"When y-values tend to increase as x-values increase, the two data sets have a positive association.",Asociación positiva,"Cuando los valores de y tienden a aumentar a medida que los valores de x aumentan, los dos conjuntos de datos tienen una asociación positiva."
516,Positive correlation,The relationship known as positive correlation exists between two sets of data in which both sets of data increase together.,Correlación positiva,La correlación positiva es la relación entre dos conjuntos de datos en la que ambos conjuntos se incrementan a la vez.
517,Postulate,"A postulate, or axiom, is an accepted statement of fact.",Postulado,"Un postulado, o axioma, es un enunciado que se acepta como un hecho."
523,Prism,"A prism is a polyhedron with two congruent and parallel faces, which are called the bases. The other faces, which are parallelograms, are called the lateral faces. An altitude of a prism is a perpendicular segment that joins the planes of the bases. Its length is the height of the prism. A right prism is one whose lateral faces are rectangular regions and a lateral edge is an altitude. In an oblique prism, some or all of the lateral faces are nonrectangular.",Prisma,"Un prisma es un poliedro con dos caras congruentes paralelas llamadas bases. Las otras caras son paralelogramos llamados caras laterales. La altura de un prisma es un segmento perpendicular que une los planos de las bases. Su longitud es también la altura del prisma. En un prisma rectangular, las caras laterales son rectangulares y una de las aristas laterales es la altura. En un prisma oblicuo, algunas o todas las caras laterales no son rectangulares."
524,Probability,"How likely it is that an event will occur, written formally as P(event), is known as probability.",Probabilidad,"La probabilidad es la posibilidad de que un suceso ocurra, escrita formalmente P(suceso)."
525,Probability distribution,A probability distribution is a function that tells the probability of each outcome in a sample space.,Distribución de probabilidades,Una distribución de probabilidades es una función que señala la probabilidad de que cada resultado ocurra en un espacio muestral.
527,Proof,"A proof is a convincing argument that uses deductive reasoning. A proof can be written in many forms. In a two-column proof, the statements and reasons are aligned in columns. In a paragraph proof, the statements and reasons are connected in sentences. In a flow proof, arrows show the logical connections between the statements. In a coordinate proof, a figure is drawn on a coordinate plane and the formulas for slope, midpoint, and distance are used to prove properties of the figure. An indirect proof involves the use of indirect reasoning.",Prueba,"Una prueba es un argumento convincente en el cual se usa el razonamiento deductivo. Una prueba se puede escribir de varias maneras. En una prueba de dos columnas, los enunciados y las razones se alinean en columnas. En una prueba de párrafo, los enunciados y razones están unidos en oraciones. En una prueba de flujo, hay flechas que indican las conexiones lógicas entre enunciados. En una prueba de coordenadas, se dibuja una figura en un plano de coordenadas y se usan las fórmulas de la pendiente, punto medio y distancia para probar las propiedades de la figura. Una prueba indirecta incluye el uso de razonamiento indirecto."
529,Proportion,A proportion is a statement that two ratios are equal. An extended proportion is a statement that three or more ratios are equal.,Proporción,Una proporción es un enunciado en el cual dos razones son iguales. Una proporción extendida es un enunciado que dice que tres razones o más son iguales.
534,Quadrants,"The four parts into which the coordinate plane is divided by its axes, are referred to as quadrants.",Cuadrantes,El plano de coordenadas está dividido por sus ejes en cuatro regiones llamadas cuadrantes.
539,Quadratic regression,A method used to find the quadratic regression function that best fits a data set.,Regresión cuadrática,La regresión cuadrática es un método que se usa para hallar la mayor aproximación a un conjunto de datos cuadráticos.
540,Quadrilateral,A quadrilateral is a polygon with four sides.,Cuadrilátero,Un cuadrilátero es un polígono de cuatro lados.
541,Qualitative,Data that name qualities are qualitative.,Cualitativo,Los datos que indican cualidades son cualitativos.
542,Quantitative,Data that measure quantity and can be described numerically are quantitative.,Cuantitativo,Los datos que miden cantidades y pueden ser descritos numéricamente son cuantitativos.
543,Quantitative variable,"A quantitative variable is a variable for which the possible values are numbers that can be meaningfully counted, added, subtracted, and so on.",Variable cuantitativa,"Una variable cuantitativa es una variable para la cual los valores posibles son números que se pueden contar, sumar, restar, y así, de manera significativa."
544,Quantity,Quantity is anything that can be measured or counted.,Cantidad,Cantidad es cualquier cosa que se puede medir o contar.
547,Radian Measure,"The radian measure of a central angle of a circle is the ratio of the length of the intercepted arc to the radius of the circle. One radian is the measure of a central angle that intercepts an arc with length equal to the radius of the circle. On a unit circle, the radian measure of a central angle is the length of the arc it intercepts.",Medida en radianes,"La medida en radianes de un ángulo central de un círculo es la razón de la longitud del arco interceptado al radio del círculo. Un radián es la medida de un ángulo central que intercepta un arco con ununalongitud igual al radio del círculo. En un círculo unitario, la medida en radianes de un ángulo central es la longitud del arco que este intercepta."
548,Radical,An expression made up of a radical symbol and a radicand.,Radical,Expresión compuesta por un símbolo radical y un radicando.
549,Radical equation,"An equation that has a variable in a radicand, which is part of the radical equation.",Ecuación radical,Ecuación radical que tiene una variable en un radicando.
550,Radical expression,An expression that contains a radical expression.,Expresión radical,Expresiones que contienen la expresión radical.
552,Radicand,The expression under the radical sign is the radicand.,Radicando,La expresión que aparece debajo del signo radical es el radicando.
556,Random sample,"In a random sample, all members of the population are equally likely to be chosen as every other member.",Muestra aleatoria,"En una muestra aleatoria, la probabilidad de ser seleccionado es igual para todos los miembros."
562,Rational equation,A rational equation is an equation that contains a rational expression.,Ecuación racional,Una ecuación racional es una ecuación que contiene una expresión racional.
564,Rational expression,A rational expression is the quotient of two polynomials.,Expresión racional,Una expresión racional es el cociente de dos polinomios.
566,Rational number,A real number that can be written as a ratio of two integers. Rational numbers in decimal form are terminating or repeating.,Número racional,"Número real que puede expresarse como la razón de dos números enteros, por lo que se considera un número racional. Los números racionales en forma decimal son exactos o periódicos."
568,Rationalize the denominator,"To rationalize the denominator of an expression, rewrite it so there are no radicals in any denominator and no denominators in any radical.",Racionalizar el denominador,"Para racionalizar el denominador de una expresión, esta se escribe de modo que no haya radicales en ningún denominador y no haya denominadores en ningún radical."
569,Ray,A ray is the part of a line that consists of one endpoint and all the points of the line on one side of the endpoint.,Semirrecta,Una semirrecta es la parte de una recta que tiene un extremo de donde parten todos los puntos de la recta.
570,Real axis,The real axis is the horizontal axis in the complex plane.,Eje real,El eje real es el eje horizontal en el plano complejo.
571,Real number,A real number is a number that is either rational or irrational.,Número real,Un número real que es o racional o irracional.
575,Reciprocal trigonometric functions,Trigonometric functions formed by inverting the ratio of a given trigonometric function are reciprocal trigonometric functions.,Función trigonométrica recíprocas,Las función trigonométrica recíprocas son funciones trigonométricas formadas al invertir la relación de una función trigonométrica dada.
576,Rectangle,A rectangle is a parallelogram with four right angles.,Rectángulo,Un rectángulo es un paralelogramo con cuatro ángulos rectos.
577,Recursive formula,A recursive formula defines the terms in a sequence by relating each term to the ones before it.,Fórmula recursiva,Una fórmula recursiva define los términos de una secuencia al relacionar cada término con los términos que lo anteceden.
578,Reduced radical form,Reduced radical form is the form of an expression for which all nth roots of prefect nth powers in the radicand have been simplified and no radicals remain in the denominator.,Forma radical reducida,La forma radical reducida es la forma de una expresión en la cual todas las raíces enésimas de potencias enésimas perfectas en el radicando se han simplificado y no quedan radicales en el denominador.
581,Reference angle,"For an angle in standard position, the reference angle is the acute angle formed between the terminal side of the angle and the x-axis.",Ángulo de referencia,"Para un ángulo en posición estándar, el ángulo de referencia es el ángulo agudo que se forma entre el lado terminal del ángulo y el eje x."
582,Reference triangle,A reference triangle is the triangle formed by drawing a perpendicular line from the terminal point on the unit circle of an angle in standard position to the x-axis.,Triángulo de referencia,Un triángulo de referencia es el triángulo que se forma al trazar una recta perpendicular desde el punto terminal en el círculo unitario de un ángulo en posición estándar hasta el eje x.
583,Reflection,"A reflection flips the graph of a function across a line, such as the x- or y-axis. Each point on the graph of the reflected function is the same distance from the line of reflection as is the corresponding point on the graph of the original function.",Reflexión,"Una reflexión voltea la gráfica de una función sobre una línea, como el eje de las x o el eje de las y. Cada punto de la gráfica de la función reflejada está a la misma distancia del eje de reflexión que el punto correspondiente en la gráfica de la función original."
584,Reflectional symmetry,"Reflectional symmetry, or line symmetry, is the type of symmetry for which there is a reflection that maps a figure onto itself. The reflection line is the line of symmetry. The line of symmetry divides a figure with reflectional symmetry into two congruent halves.",Simetría reflexiva,"Simetría reflexiva, o simetría lineal, es el tipo de simetría donde hay una reflexión que ubica una figura en sí misma. El eje de reflexión es el eje de simetría. El eje de simetría divide una figura con simetría reflexiva en dos mitades congruentes."
585,Reflexive Property,"Given a real number a, the Reflexive Property of Equality states that a = a.",Propiedad reflexiva,"Dado un número real a, la propiedad reflexiva de la igualdad establece que a = a."
586,Regular polygon,A regular polygon is a polygon that is both equilateral and equiangular. Its center is the point that is equidistant from its vertices.,Polígono regular,Un polígono regular es un polígono que es equilateral y equiangular. Su centro es el punto equidistante de sus vértices.
588,Relation,Any set of ordered pairs is known as a relation.,Relación,Cualquier conjunto de pares ordenados que establece una relación entre elementos.
589,Relative error,"The ratio of the absolute value of the difference of a measured (or estimated) value and an actual value compared to the actual value, is known as relative error.",Error relativo,"Razón del valor absoluto de la diferencia de un valor medido (o estimado) y un valor actual en comparación con el valor actual, que se conoce como error relativo."
590,Relative frequency,The relative frequency of an event is the ratio of the number of times the even occurs to the total number of trials.,Frecuencia relativa,La frecuencia relativa de un suceso es la razón del número de veces que ocurre un evento al número de eventos en el espacio muestral.
593,Remote interior angles,Remote interior angles are the two nonadjacent interior angles corresponding to each exterior angle of a triangle.,Ángulos interiores remotos,Los ángulos interiores remotos son los dos ángulos interiores no adyacentes que corresponden a cada ángulo exterior de un triángulo.
595,Residual,The difference between the y-value of a data point and the corresponding y-value of a model for the data set is known as the residual.,Residuo,"La diferencia entre el valor de y de un punto y el valor de y correspondiente a ese punto en el modelo del conjunto de datos, se denomina residuo."
596,Rhombus,A rhombus is a parallelogram with four congruent sides.,Rombo,Un rombo es un paralelogramo de cuatro lados congruentes.
597,Right angle,A right angle is an angle whose measure is 90 degrees.,Ángulo recto,Un ángulo recto es un ángulo que mide 90.
601,Right triangle,A right triangle contains one right angle. The side opposite the right angle is the hypotenuse and the other two sides are the legs.,Triángulo rectángulo,Un triángulo rectángulo contiene un ángulo recto. El lado opuesto del ángulo recto es la hipotenusa y los otros dos lados son los catetos.
602,Rigid motion,A rigid motion is a transformation that preserves distance and angle measure. A rigid motion is sometimes called a congruence transformation.,Movimiento rígido,Un movimiento rígido es una transformación en el plano que no cambia la distancia ni la medida del ángulo. Los movimientos rígidos se conocen a veces como transformaciones de congruencia.
603,Root,A root of a function is the input value for which the value of the function is zero. A root of an equation is a value that makes the equation true. See also Zero of a function.,Raíz,La raíz de una función es el valor de entrada para el cual el valor de la función es cero. La raíz de una ecuación es un valor que hace verdadera la ecuación. Ver también Zero of a function.
604,Roster form,"A notation for listing all of the elements in a set using set braces and commas, is known as roster form.",Lísta,"Una notación en la que se enlistan todos los elementos en un conjunto usando llaves y comas, formando así una lísta."
606,Rotational symmetry,Rotational symmetry is the type of symmetry for which there is a rotation of 180 degrees or less that maps a figure onto itself.,Simetría rotacional,La simetría rotacional es un tipo de simetría en la que una rotación de 180 grados o menos vuelve a trazar una figura sobre sí misma.
607,Row operation,"A row operation on an augmented matrix is any of the following: switch two rows, multiply a row by a constant, add one row to another.",Operación de fila,"Una operación de fila en una matriz ampliada es cualquiera de las siguientes opciones: el intercambio de dos filas, la multiplicación de una fila por una constante o la suma de dos filas."
609,Sample,Sample is the part of a population that is surveyed.,Muestra,Muestra es la porción que se estudia de una población.
610,Sample space,All possible outcomes in a situation that make up the sample space.,Espacio muestral,Todos los resultados posibles de una situación que conforman el espacio muestral.
611,Sampling distribution,A sampling distribution is the distribution of sample statistics from different samples of the same population.,Distribución muestral,La distribución muestral es la distribución de las estadísticas muestrales de diferentes muestras de la misma población.
615,Scale drawing,A scale drawing is a drawing in which all lengths are proportional to corresponding actual lengths.,Dibujo a escala,Un dibujo a escala es un dibujo en el que todas las longitudes son proporcionales a las longitudes verdaderas correspondientes.
616,Scale factor,A scale factor is the ratio of corresponding linear measurements of two similar figures.,Factor de escala,El factor de escala es la razón de las medidas lineales correspondientes de dos figuras semejantes.
618,Scale model,"A three-dimensional model that is similar to a three-dimensional object, known as a scale model.",Modelo de escala,Modelo tridimensional que es similar a un objeto tridimensional y que se conoce como modelo de escala.
619,Scalene triangle,A scalene triangle has no congruent sides.,Triángulo escaleno,Un triángulo escaleno no tiene lados congruentes.
620,Scatter plot,A scatter plot is a graph that relates two different sets of data by plotting the data as ordered pairs. You can use a scatter plot to determine a relationship between the data sets.,Diagrama de puntos,Un diagrama de puntos es una gráfica que relaciona dos conjuntos de datos presentando los datos como pares ordenados. El diagrama de puntos sirve para definir la relación entre conjuntos de datos.
622,Secant,"A secant is a line, ray, or segment that intersects a circle at two points.",Secante,"Una secante es una recta, semirrecta o segmento que corta un círculo en dos puntos."
626,Segment bisector,"A segment bisector is a line, segment, ray, or plane that intersects a segment at its midpoint.",Bisectriz de un segmento,"La bisectriz de un segmento es una recta, segmento, semirrecta o plano que corta un segmento en su punto medio."
628,Self-selected sample,In a self-selected sample you select only members of the population who volunteered for the sample.,Muestra de voluntarios,En una muestra de voluntarios se seleccionan sólo a los miembros de la población que se ofrecen voluntariamente para ser parte de la muestra.
629,Semicircle,A semicircle is half a circle.,Semicírculo,Un semicírculo es la mitad de un círculo.
631,Series,A series is the sum of the terms of a sequence.,Serie,Una serie es la suma de los términos de una secuencia.
633,Set-builder notation,A notation used to describe the elements of a set using set-builder notation.,Notación conjuntista,Notación conjuntista es la notación que se usa para describir los elementos de un conjunto.
635,Sigma notation,Sigma notation denotes a sum of terms. The terms to be added are formed by evaluating an expression for a specified range of values.,Notación sigma,La notación sigma es la suma de n términos de una progresión.
636,Similar figures,"Similar figures are two figures that have the same shape, but not necessarily the same size.",Figuras semejantes,Las figuras semejantes son dos figuras que tienen la misma forma pero no son necesariamente del mismo tamaño.
637,Similar polygons,Similar polygons are polygons having corresponding angles congruent and the lengths of corresponding sides proportional.,Polígonos semejantes,Los polígonos semejantes son polígonos cuyos ángulos correspondientes son congruentes y las longitudes de los lados correspondientes son proporcionales.
638,Similar solids,Similar solids have the same shape and all their corresponding dimensions are proportional.,Cuerpos geométricos semejantes,Los cuerpos geométricos semejantes tienen la misma forma y todas sus dimensiones correspondientes son proporcionales.
639,Similarity transformation,"A composition of one or more rigid motions is a dilation, known as a similarity transformation.",Transformación de semejanza,Ver transformación de semejanza.
640,Simple interest,Interest calculated based solely on the principal amount is called simple interest.,Interés simple,El interés simple es el interés basado en el capital solamente.
641,Simple random sample,"A simple random sample is a sample where each member of the population is equally likely to be chosen, and for all n, each sample of size n is equally likely to be chosen.",Muestra aleatoria simple,"Una muestra aleatoria simple es una muestra donde la probabilidad de ser seleccionado es igual para todos los miembros de la población, y para todos los valores de n, la probabilidad de ser seleccionado es igual para cada muestra de tamaño n."
645,Simulation,A simulation is a model that imitates one or more events.,Simulación,Una simulación es un modelo que imita uno o más sucesos.
647,Sine curve,A sine curve is the graph of a sine function.,Sinusoide,Sinusoide es la gráfica de la función seno.
650,Singular matrix,A singular matrix is a square matrix with no inverse. Its determinant is 0.,Matriz singular,Una matriz singular es una matriz al cuadrado que no tiene inverso. El determinante de la matriz es 0.
651,Skewed distribution,A skewed distribution is a distribution whose shape is stretched out in either the positive or negative direction.,Distribución asimétrica,Una distribución asimétrica es una distribución cuya forma se extiende en dirección positiva o en dirección negativa.
652,Skew lines,Skew lines are lines that do not lie in the same plane.,Rectas cruzadas,Las rectas cruzadas son rectas que no están en el mismo plano.
665,Sphere,"A sphere is the set of all points in space that are a given distance r, the radius, from a given point C, the center. A great circle is the intersection of a sphere with a plane containing the center of the sphere. The circumference of a sphere is the circumference of any great circle of the sphere.",Esfera,"Una esfera es el conjunto de los puntos del espacio que están a una distancia dada r, el radio, de un punto dado C, el centro. Un círculo máximo es la intersección de una esfera y un plano que contiene el centro de la esfera. La circunferencia de una esfera es la circunferencia de cualquier círculo máximo de la esfera."
666,Spherical geometry,"In spherical geometry, a plane is considered to be the surface of a sphere and a line is considered to be a great circle of the sphere. In spherical geometry, through a point not on a given line there is no line parallel to the given line.",Geometría esférica,"En la geometría esférica, un plano es la superficie de una esfera y una recta es un círculo máximo de la esfera. En la geometría esférica, a través de un punto que no está en una recta dada, no hay recta paralela a la recta dada."
668,Square matrix,A square matrix is a matrix with the same number of columns as rows.,Matriz cuadrada,Una matriz cuadrada es la que tiene la misma cantidad de columnas y filas.
670,Square root equation,A square root equation is a radical equation in which the radical has index 2.,Ecuación de raíz cuadrada,Una ecuación de raíz cuadrada es una ecuación radical en la cual el radical tiene índice 2.
671,Square root function,A square root function is a function that contains the independent variable in the radicand.,Pregunta estadística,"Una pregunta estadística es una pregunta que se puede responder reuniendo mucha información, o datos, y resumiéndola."
673,Standard deviation,"A measure of how data varies, or deviates, from the mean, is known as the standard deviation.",Variable estadística,Una variable estadística es una cantidad o cualidad para la cual se anticipan variaciones en los datos.
683,Standard normal distribution,The standard normal distribution is a normal distribution with mean 0 and standard deviation 1.,Forma normal de la ecuación de una hipérbola,La forma normal de la ecuación de una hipérbola con centro en el origen es x^2/a^2 - y^2/b^2 = 1 donde la hipérbola se abre de forma horizontal.
684,Standard position,An angle in the coordinate plane is in standard position when the vertex is at the origin and one ray is on the positive x-axis.,Forma normal de la ecuación de una elipse,La forma normal de la ecuación de una elipse con centro en el origen es x^2/b^2 - y^2/a^2 = 1 donde el eje mayor es vertical y x^2/a^2 + y^2/b^2 = 1 cuando el eje mayor es horizontal.
685,Stem-and-leaf plot,A stem-and-leaf plot is a display of data made by using the digits of the values.,Distribución normal estándar,La distribución normal estándar es una distribución normal con una media de 0 y una desviación típica de uno.
686,Step function,A step function pairs every number in an interval with a single value. The graph of a step function can look like the steps of a staircase.,Posición estándar,Un ángulo en el plano de coordenadas se encuentra en posición estándar si el vértice se encuentra en el origen y una semirrecta se encuentra en el eje x positivo.
687,Straight angle,A straight angle is an angle whose measure is 180 degrees.,Diagrama de tallo y hojas,Un arreglo de los datos que usa los dígitos de los valores en el diagrama de tallo y hojas.
688,Straightedge,A straightedge is a ruler with no markings on it.,Función escalón,Una función escalón empareja cada número de un intervalo con un solo valor. La gráfica de una función escalón se puede parecer a los peldaños de una escalera.
689,Statistic,"A statistic is a piece of data from a sample, not a whole population.",Ángulo llano,Un ángulo llano es un ángulo que mide 180.
690,Statistical question,"A statistical question is a question that can be answered by collecting many pieces of information, or data, and summarizing the data.",Regla sin graduación,Una regla sin graduación no tiene marcas
691,Statistical variable,A statistical variable is a quantity or quality for which data are expected to differ.,Estadística,"Una estadística es un dato tomado de una muestra, no de una población completa."
693,Subset,A subset of a set consists of elements from the given set.,Subconjunto,Un subconjunto de un conjunto consiste en elementos del conjunto dado.
694,Substitution method,A method of solving a system of equations by replacing one variable with an equivalent expression containing the other variable using the substitution method.,Método de sustitución,Método de sustitución es un método para resolver un sistema de ecuaciones en el que se reemplaza una variable por una expresión equivalente que contenga la otra variable.
696,Supplementary angles,Two angles are supplementary angles if the sum of their measures is 180 degrees.,Ángulos suplementarios,Los ángulos suplementarios son dos ángulos cuyas medidas suman 180.
697,Surface area,"The surface area of a prism, cylinder, pyramid, or cone is the sum of the lateral area and the areas of the bases. The surface area of a sphere is four times the area of a great circle.",Área,"El área de un prisma, pirámide, cilindro o cono es la suma del área lateral y las áreas de las bases. El área de una esfera es igual a cuatro veces el área de un círculo máximo."
698,Survey,"In a survey, you ask every member of a sample the same set of questions.",Encuesta,"En una encuesta, se le hace a cada miembro de una muestra la misma serie de preguntas."
699,Symmetric distribution,A symmetric distribution is a distribution whose shape is evenly distributed around the mean.,Distribución simétrica,Una distribución simétrica es una distribución cuya forma está distribuida en forma pareja alrededor de la media.
703,System of equations,A system of equations is a set of two or more equations using the same variables.,Sistema de ecuaciones,Un sistema de ecuaciones es un conjunto de dos o más ecuaciones que contienen las mismas variables.
706,Systematic sample,"In a systematic sample you order the population in some way, and then select from it at regular intervals.",Muestra sistemática,En una muestra sistemática se ordena la población de cierta manera y luego se selecciona una muestra de esa población a intervalos regulares.
714,Terminal point,The terminal point of a vector is the tip (not the endpoint) of a vector arrow.,Punto terminal,El punto terminal de un vector es la punta (no el extremo) de una flecha vectorial.
716,Theorem,A theorem is a conjecture that is proven.,Teorema,Un teorema es una conjetura que se demuestra.
720,Translation,"A translation shifts the graph of the parent function horizontally, vertically, or both without changing its shape or orientation.",Traslación,"Una traslación desplaza la gráfica de la función madre horizontalmente, verticalmente o en ambas direcciones, sin cambiar su forma u orientación."
721,Transversal,A transversal is a line that intersects two or more lines at distinct points.,Transversal,Una transversal es una línea que interseca dos o más líneas en puntos precisos.
722,Transverse axis,The transverse axis of a hyperbola is the segment that is on the line containing the foci and has endpoints on the hyperbola.,Eje transversal,El eje transversal de una hipérbola es el segmento que se encuentra sobre la línea que contiene los focos y tiene sus puntos extremos sobre la hipérbola.
723,Trapezoid,"A trapezoid is a quadrilateral with exactly one pair of parallel sides, the bases. The nonparallel sides are called the legs of the trapezoid. Each pair of angles adjacent to a base are base angles of the trapezoid. An altitude of a trapezoid is a perpendicular segment from one base to the line containing the other base. Its length is called the height of the trapezoid.",Trapecio,"Un trapecio es un cuadrilátero con exactamente un par de lados paralelos, las bases. Los lados no paralelos se llaman los catetos del trapecio. Cada par de ángulos adyacentes a la base son los ángulos de base del trapecio. Una altura del trapecio es un segmento perpendicular que va de una base a la recta que contiene la otra base. Su longitud se llama, por extensión, la altura del trapecio."
724,Trend line,A trend line is a line on a scatter plot drawn near the points that shows a correlation.,Línea de tendencia,Una línea de tendencia es una línea que aproxima la relación entre dos variables o conjunto de datos de un diagrama de dispersión.
726,Trigonometric identity,A trigonometric identity in one variable is a trigonometric equation that is true for all values of the variable for which both sides of the equation are defined.,Identidad trigonométrica,Una identidad trigonométrica en una variable es una ecuación trigonométrica que es verdadera para todos los valores de la variable para los cuales se definen los dos lados de la ecuación.
728,Trinomial,A trinomial is a polynomial of three terms.,Trinomio,Polinomio compuesto de tres términos que se denomina trinomio.
729,Truth table,A truth table is a table that lists all the possible combinations of truth values for two or more statements.,Tabla de verdad,Una tabla de verdad es una tabla que muestra todas las combinaciones posibles de valores de verdad de dos o más enunciados.
730,Truth value,"The truth value of a statement is true or false according to whether the statement is true or false, respectively.",Valor verdadero,"El valor verdadero de un enunciado es &quot;verdadero&quot; o &quot;falso&quot; según el enunciado sea verdadero o falso, respectivamente."
731,Turning point,A turning point of the graph of a function is a point where the graph changes direction from upwards to downwards or from downwards to upwards.,Punto de giro,Un punto de giro de la gráfica de una función es un punto donde la gráfica cambia de dirección de arriba hacia abajo o vice versa.
734,Uniform distribution,A uniform distribution is a probability distribution that is equal for each event in the sample space.,Distribución uniforme,Una distribución uniforme es una distribución de probabilidad que es igual para cada suceso en el espacio muestral.
735,Union,The union is the set that contains all of the elements of two or more sets.,Unión,"El conjunto que contiene todos los elementos de dos o más conjuntos, formando una unión."
736,Unit analysis,Including units for each quantity in a calculation to determine the unit of the answer through unit analysis.,Análisis de unidades,Incluir unidades para cada cantidad de un cálculo como ayuda para determinar la unidad que se debe usar para la respuesta en el análisis de unidades.
737,Unit circle,The unit circle has a radius of 1 unit and its center is at the origin of the coordinate plane.,Círculo unitario,El círculo unitario tiene un radio de 1 unidad y el centro está situado en el origen del plano de coordenadas.
738,Unit rate,A unit rate is a rate with a denominator of 1.,Razón en unidades,Razón en unidades que tiene un denominador de 1.
739,Univariate,A set of data that uses only one variable is univariate.,Univariado,Un conjunto de datos que tiene sólo una variable es univariado.
740,Universal set,The universal set is the set of all possible elements from which subsets are formed.,Conjunto universal,Conjunto universal de todos los posibles elementos específicos del cual se forma un subconjunto.
741,Unlike radicals,Unlike radicals are the radical expressions that do not have the same radicands.,Radicales no semejantes,Expresiones radicales que no tienen radicandos semejantes y que son radicales no semejantes.
